chain,generation,subjID,seqid,seqIN,seqOUT
2,0,2.0,1,342233111442,342233111442
2,0,2.0,2,221413312344,221413312344
2,0,2.0,3,122441331324,122441331324
2,0,2.0,4,343243124211,343243124211
2,0,2.0,5,311224214343,311224214343
2,0,2.0,6,243334121412,243334121412
2,0,2.0,7,132331422144,132331422144
2,0,2.0,8,323421421413,323421421413
2,0,2.0,9,223423414131,223423414131
2,0,2.0,10,241331124234,241331124234
2,0,2.0,11,132422413143,132422413143
2,0,2.0,12,134211234243,134211234243
2,0,2.0,13,213343244121,213343244121
2,0,2.0,14,321334244121,321334244121
2,0,2.0,15,122433442113,122433442113
2,0,2.0,16,432412143132,432412143132
2,0,2.0,17,422314314231,422314314231
2,0,2.0,18,123214234431,123214234431
2,0,2.0,19,114213324243,114213324243
2,0,2.0,20,123444223131,123444223131
2,0,2.0,21,342341321214,342341321214
2,0,2.0,22,414312241233,414312241233
2,0,2.0,23,241334211423,241334211423
2,0,2.0,24,431313422421,431313422421
2,0,2.0,25,243423111342,243423111342
2,0,2.0,26,321431242134,321431242134
2,0,2.0,27,223114413243,223114413243
2,0,2.0,28,133314244221,133314244221
2,0,2.0,29,231432113442,231432113442
2,0,2.0,30,314243234112,314243234112
2,10,2.10,1,2212214312423,1221223414121
2,10,2.10,2,241234123412322,23123424242314
2,10,2.10,3,412442122343,412442142323
2,10,2.10,4,411241131143,44124413123
2,10,2.10,5,14344214142243,1431441244123
2,10,2.10,6,341234123,34123412
2,10,2.10,7,422422142,422422142
2,10,2.10,8,14231241211423,1423142214343123
2,10,2.10,9,1421314423,1421314423
2,10,2.10,10,124312123343,1243121243
2,10,2.10,11,2323414123,2323414123
2,10,2.10,12,412341224,412341224
2,10,2.10,13,12231411234,123441232
2,10,2.10,14,124312143,12431243
2,10,2.10,15,42142413,42142321
2,10,2.10,16,114311431124,1143114312
2,10,2.10,17,12341123,12344123
2,10,2.10,18,41241222142,4124122241
2,10,2.10,19,1244123443,124412443
2,10,2.10,20,412341234,412341234
2,10,2.10,21,113211342134,1123112424413
2,10,2.10,22,411341123,411234123
2,10,2.10,23,412342133,412342133
2,10,2.10,24,1123112411421,441231234423
2,10,2.10,25,1142114113,11421143
2,10,2.10,26,1432223142223,142214343
2,10,2.10,27,1432143114232,14314231422
2,10,2.10,28,123141423,123141423
2,10,2.10,29,1142314231123,14231123443
2,10,2.10,30,1432142342,14234232
2,1,2.1,1,323421421413,342134231
2,1,2.1,2,134211234243,4143124213
2,1,2.1,3,422314314231,4123342124
2,1,2.1,4,133314244221,11333124213
2,1,2.1,5,414312241233,42312442123
2,1,2.1,6,342233111442,213421342
2,1,2.1,7,321334244121,34124431243
2,1,2.1,8,311224214343,311423412343
2,1,2.1,9,431313422421,43121344213
2,1,2.1,10,243423111342,4232111132342
2,1,2.1,11,123444223131,1234214213
2,1,2.1,12,343243124211,3421342114
2,1,2.1,13,114213324243,112114232443
2,1,2.1,14,231432113442,34432142132134212
2,1,2.1,15,243334121412,243421243213
2,1,2.1,16,223423414131,4213421232124
2,1,2.1,17,221413312344,22341241414
2,1,2.1,18,321431242134,412434234212
2,1,2.1,19,122441331324,1243421243
2,1,2.1,20,342341321214,12443421214
2,1,2.1,21,314243234112,314213414
2,1,2.1,22,241331124234,24131241244
2,1,2.1,23,123214234431,123124421412
2,1,2.1,24,122433442113,1234211243
2,1,2.1,25,132422413143,11434211143
2,1,2.1,26,213343244121,242113421
2,1,2.1,27,132331422144,14131421242141212441241414342141
2,1,2.1,28,223114413243,22342124413
2,1,2.1,29,241334211423,2431214214243
2,1,2.1,30,432412143132,432414342
2,2,2.2,1,412434234212,414234142
2,2,2.2,2,34124431243,341211342
2,2,2.2,3,43121344213,43121141423
2,2,2.2,4,2431214214243,24311414241
2,2,2.2,5,243421243213,24342141421
2,2,2.2,6,4213421232124,421342142413
2,2,2.2,7,1243421243,1243241243
2,2,2.2,8,4143124213,4143141213
2,2,2.2,9,342134231,3421342413
2,2,2.2,10,1234214213,123421343
2,2,2.2,11,112114232443,112113414321
2,2,2.2,12,213421342,213421342
2,2,2.2,13,11333124213,1133314241
2,2,2.2,14,123124421412,1234121432
2,2,2.2,15,432414342,431241432
2,2,2.2,16,24131241244,2413224141
2,2,2.2,17,34432142132134212,3412123421143
2,2,2.2,18,22342124413,22342111423
2,2,2.2,19,1234211243,12341221143
2,2,2.2,20,22341241414,223414124
2,2,2.2,21,3421342114,3421342112
2,2,2.2,22,242113421,242112434
2,2,2.2,23,42312442123,421441323
2,2,2.2,24,311423412343,31213141323
2,2,2.2,25,11434211143,1143142143
2,2,2.2,26,314213414,314231421
2,2,2.2,27,4123342124,4123312414
2,2,2.2,28,14131421242141212441241414342141,14121433142414142213
2,2,2.2,29,4232111132342,423241113124
2,2,2.2,30,12443421214,12131412143
2,3,2.3,1,421342142413,421432134241323
2,3,2.3,2,24311414241,42234114234132
2,3,2.3,3,2413224141,42243411324123
2,3,2.3,4,223414124,2234141324
2,3,2.3,5,4143141213,434124311324
2,3,2.3,6,314231421,31324134211
2,3,2.3,7,1234121432,12341231242
2,3,2.3,8,4123312414,41234123142
2,3,2.3,9,12131412143,12114131243
2,3,2.3,10,414234142,4142341423
2,3,2.3,11,43121141423,423214211423
2,3,2.3,12,24342141421,243221421423
2,3,2.3,13,31213141323,31321341423
2,3,2.3,14,123421343,123412343
2,3,2.3,15,423241113124,4234111423
2,3,2.3,16,112113414321,1121143214323
2,3,2.3,17,341211342,3421411342
2,3,2.3,18,3421342112,3421243321342
2,3,2.3,19,1133314241,1133313423
2,3,2.3,20,213421342,2134221342
2,3,2.3,21,3412123421143,43214321212432
2,3,2.3,22,3421342413,3421342213
2,3,2.3,23,1143142143,1143142143
2,3,2.3,24,1243241243,124321243
2,3,2.3,25,421441323,4243214211423
2,3,2.3,26,14121433142414142213,1421432142324321423
2,3,2.3,27,22342111423,2234111423
2,3,2.3,28,12341221143,12341244123423
2,3,2.3,29,431241432,432124311324
2,3,2.3,30,242112434,2243211342
2,4,2.4,1,2134221342,2133421344
2,4,2.4,2,421432134241323,42134223143
2,4,2.4,3,12114131243,1234124311243
2,4,2.4,4,2243211342,22132214231243
2,4,2.4,5,423214211423,11423114233241
2,4,2.4,6,31324134211,132213221143231
2,4,2.4,7,12341231242,123124123124
2,4,2.4,8,243221421423,123123243324
2,4,2.4,9,1133313423,11311243
2,4,2.4,10,1421432142324321423,14231423114311243
2,4,2.4,11,43214321212432,4312431243122431
2,4,2.4,12,123412343,12431234
2,4,2.4,13,2234111423,224224311343
2,4,2.4,14,12341244123423,123123441243
2,4,2.4,15,42243411324123,144231422343
2,4,2.4,16,124321243,124311243
2,4,2.4,17,432124311324,43112432212343
2,4,2.4,18,3421243321342,23231124323413
2,4,2.4,19,31321341423,3132241342
2,4,2.4,20,42234114234132,4221344222134
2,4,2.4,21,434124311324,434423114323
2,4,2.4,22,3421342213,43234311423
2,4,2.4,23,2234141324,22322114342143
2,4,2.4,24,3421411342,411341123
2,4,2.4,25,4142341423,412341234423
2,4,2.4,26,1143142143,11431124311423
2,4,2.4,27,41234123142,412341231123
2,4,2.4,28,4234111423,423113423
2,4,2.4,29,4243214211423,423114234231143
2,4,2.4,30,1121143214323,112114311211432
2,5,2.5,1,23231124323413,232311242213112
2,5,2.5,2,22322114342143,2233221241321143
2,5,2.5,3,123124123124,123124123124
2,5,2.5,4,11431124311423,1143114211234
2,5,2.5,5,11311243,11311243
2,5,2.5,6,132213221143231,112211231114223
2,5,2.5,7,4221344222134,422134422231
2,5,2.5,8,224224311343,22422422311423
2,5,2.5,9,12431234,12431234
2,5,2.5,10,423114234231143,423423314241143
2,5,2.5,11,144231422343,1224311423224123
2,5,2.5,13,123123243324,2212131231422113
2,5,2.5,14,112114311211432,1123114211243
2,5,2.5,15,11423114233241,1124311243312434
2,5,2.5,16,423113423,423113423
2,5,2.5,17,14231423114311243,114311431124113
2,5,2.5,18,2133421344,211241142
2,5,2.5,19,3132241342,312311424131
2,5,2.5,20,42134223143,422342134
2,5,2.5,21,124311243,12431123
2,5,2.5,22,4312431243122431,441244124421112
2,5,2.5,23,43112432212343,44123243
2,5,2.5,24,411341123,411341123
2,5,2.5,25,412341234423,412341234423
2,5,2.5,26,43234311423,432341123
2,5,2.5,27,123123441243,123123442131
2,5,2.5,28,434423114323,442341231123443
2,5,2.5,29,1234124311243,1124114311423
2,5,2.5,30,412341231123,4123421234213112
2,5,2.5,31,22132214231243,221422132423112
2,6,2.6,1,423113423,42311423
2,6,2.6,2,44123243,441243423
2,6,2.6,3,211241142,212214321
2,6,2.6,4,123124123124,123124123124
2,6,2.6,5,4123421234213112,412341234
2,6,2.6,6,441244124421112,412412421112
2,6,2.6,7,232311242213112,2323124214
2,6,2.6,8,2233221241321143,22332214214
2,6,2.6,9,1224311423224123,1234124321143
2,6,2.6,10,423423314241143,4233423124
2,6,2.6,11,1143114211234,11431142113
2,6,2.6,12,221422132423112,2214221322113
2,6,2.6,13,12431234,14231423
2,6,2.6,14,411341123,41134213
2,6,2.6,15,123123442131,1243124314423
2,6,2.6,16,12431123,12431123
2,6,2.6,17,2212131231422113,22121223214
2,6,2.6,18,412341234423,41234123423
2,6,2.6,19,312311424131,3124312412
2,6,2.6,20,22422422311423,224224223123
2,6,2.6,21,442341231123443,44234421344231
2,6,2.6,22,422134422231,4221342221
2,6,2.6,23,1124114311423,11242112431142
2,6,2.6,24,1123114211243,1124112311243
2,6,2.6,25,432341123,43214324
2,6,2.6,26,11311243,11311243
2,6,2.6,27,112211231114223,1123112411243
2,6,2.6,28,1124311243312434,1124311243234
2,6,2.6,29,114311431124113,114311431124
2,6,2.6,30,422342134,422342134224
2,7,2.7,1,412341234,412341234
2,7,2.7,2,22121223214,221222432314
2,7,2.7,3,42311423,44123114
2,7,2.7,4,114311431124,114311431124
2,7,2.7,5,14231423,14231423
2,7,2.7,6,1124112311243,1124112311243
2,7,2.7,7,41234123423,41234123412
2,7,2.7,8,212214321,44122143214
2,7,2.7,9,1243124314423,1423142314423
2,7,2.7,10,224224223123,2242242212324
2,7,2.7,12,44234421344231,4442344241342
2,7,2.7,13,441243423,44124233
2,7,2.7,14,11431142113,1142114321
